File Path,Status,Backup Size (bytes),Backup Lines,Current Size (bytes),Current Lines,Size Diff (bytes),Lines Diff,Size Change %,Backup Path,Current Path
blog\blogData.ts,Only in Backup,8670,279,0,0,-8670,-279,-100%,Z:\09-25\src-9-30-25-working\blog\blogData.ts,
chat\Chatdata.ts,Only in Backup,15905,574,0,0,-15905,-574,-100%,Z:\09-25\src-9-30-25-working\chat\Chatdata.ts,
churches\churchData.tsx,Only in Backup,13812,382,0,0,-13812,-382,-100%,Z:\09-25\src-9-30-25-working\churches\churchData.tsx,
church-records.api.ts,Only in Backup,11367,345,0,0,-11367,-345,-100%,Z:\09-25\src-9-30-25-working\church-records.api.ts,
church-records.hooks.ts,Only in Backup,10464,367,0,0,-10464,-367,-100%,Z:\09-25\src-9-30-25-working\church-records.hooks.ts,
client-management.api.ts,Only in Backup,7990,193,0,0,-7990,-193,-100%,Z:\09-25\src-9-30-25-working\client-management.api.ts,
components.api.ts,Only in Backup,5781,229,0,0,-5781,-229,-100%,Z:\09-25\src-9-30-25-working\components.api.ts,
components\admin\OMAITaskAssignmentWidget.tsx,Only in Backup,53986,1376,0,0,-53986,-1376,-100%,Z:\09-25\src-9-30-25-working\components\admin\OMAITaskAssignmentWidget.tsx,
components\admin\OMBigBook.tsx.backup,Only in Backup,53402,1387,0,0,-53402,-1387,-100%,Z:\09-25\src-9-30-25-working\components\admin\OMBigBook.tsx.backup,
components\admin\RegistryManagementPanel.tsx.backup,Only in Backup,8838,246,0,0,-8838,-246,-100%,Z:\09-25\src-9-30-25-working\components\admin\RegistryManagementPanel.tsx.backup,
components\apps\account-settings\AccountTab.tsx.backup,Only in Backup,13027,334,0,0,-13027,-334,-100%,Z:\09-25\src-9-30-25-working\components\apps\account-settings\AccountTab.tsx.backup,
components\apps\account-settings\NotificationTab.tsx.backup,Only in Backup,18049,502,0,0,-18049,-502,-100%,Z:\09-25\src-9-30-25-working\components\apps\account-settings\NotificationTab.tsx.backup,
components\apps\ecommerce\productDetail\Carousel.css,Only in Backup,210,13,0,0,-210,-13,-100%,Z:\09-25\src-9-30-25-working\components\apps\ecommerce\productDetail\Carousel.css,
components\church-management\ch-wiz\ChurchSetupWizard.tsx,Only in Backup,31910,902,0,0,-31910,-902,-100%,Z:\09-25\src-9-30-25-working\components\church-management\ch-wiz\ChurchSetupWizard.tsx,
components\frontend-pages\homepage\powerful-dozens\carousel.css,Only in Backup,301,18,0,0,-301,-18,-100%,Z:\09-25\src-9-30-25-working\components\frontend-pages\homepage\powerful-dozens\carousel.css,
components\frontend-pages\shared\leadership\carousel.css,Only in Backup,123,7,0,0,-123,-7,-100%,Z:\09-25\src-9-30-25-working\components\frontend-pages\shared\leadership\carousel.css,
components\ImportRecordsButton.tsx.backup,Only in Backup,18821,558,0,0,-18821,-558,-100%,Z:\09-25\src-9-30-25-working\components\ImportRecordsButton.tsx.backup,
components\KanbanBoard.tsx,Only in Backup,2258,96,0,0,-2258,-96,-100%,Z:\09-25\src-9-30-25-working\components\KanbanBoard.tsx,
components\KanbanColumn.tsx,Only in Backup,4629,181,0,0,-4629,-181,-100%,Z:\09-25\src-9-30-25-working\components\KanbanColumn.tsx,
components\KanbanTaskCard.tsx,Only in Backup,10937,351,0,0,-10937,-351,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskCard.tsx,
components\KanbanTaskModal.broken.tsx,Only in Backup,21948,683,0,0,-21948,-683,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.broken.tsx,
components\KanbanTaskModal.clean.tsx,Only in Backup,0,0,0,0,0,0,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.clean.tsx,
components\KanbanTaskModal.tsx,Only in Backup,16511,522,0,0,-16511,-522,-100%,Z:\09-25\src-9-30-25-working\components\KanbanTaskModal.tsx,
